profileUrl,fullName,title,postDate,textContent,likeCount,commentCount,name,query,timestamp,companyUrl,companyName,followerCount,error
https://www.linkedin.com/in/ACoAACID_BsBC3A0JzHjCm6W0-m4OtYEZrLyFeo?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACID_BsBC3A0JzHjCm6W0-m4OtYEZrLyFeo,Michael Djaballah,Researcher at Tradewell Technologies,30m,"...days clicking buttons, juggling messages, and managing an avalanche of pop-ups. We are on a mission to reimagine bond trading and portfolio management using the latest techniques in AI, machine learning and UX. Our clients are the world's...",5,1,Michael Djaballah,machine learning finance,2021-09-23T19:19:16.386Z,,,,
https://www.linkedin.com/in/ACoAAALWH9oB9oVCkKljdHL0QMli3COeMSW6IMc?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAALWH9oB9oVCkKljdHL0QMli3COeMSW6IMc,Ãlvaro Cartea,"Professor of Mathematical Finance, Director Oxford-Man Institute of Quantitative Finance, University of Oxford",1d,"I am delighted to be the new Director at the Oxford-Man Institute of Quantitative Finance, University of Oxford  This is a unique opportunity to address fundamental problems in quantitative finance with a strong focus on machine learning...",278,60,Ãlvaro Cartea,machine learning finance,2021-09-23T19:19:16.386Z,,,,
https://www.linkedin.com/in/ACoAABxbx4IBpnVdhIk-slff4IV_08bIslaUj8I?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABxbx4IBpnVdhIk-slff4IV_08bIslaUj8I,Srajan Tibrewal,Looking for a job,20h,"..., accounting, finance, data analytics, machine learning, journalism and content writing. You'll find glimpses of almost all of the above in my resume attached.   I am willing to work online as well as from major cities Pan India.  *Kindly...",,,Srajan Tibrewal,machine learning finance,2021-09-23T19:19:16.386Z,,,,
https://www.linkedin.com/in/ACoAABZ31jQBEBrid-NOJV2D1o_nrx9T5AxyQ1o?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABZ31jQBEBrid-NOJV2D1o_nrx9T5AxyQ1o,Remco Veenenberg,Helping banks see further and move faster / Neobank expert,13h,"...Vaituleviciute, Liudas Kanapienis  Vachtangas Babunasvili, Lauri Teder and too many more ðŸš€  And to friendly competitors such as Thought Machine with Michal Wilczynski & Patrick De Gregoriis, Gareth Richardson...",,,Remco Veenenberg,machine learning finance,2021-09-23T19:19:16.386Z,,,,
https://www.linkedin.com/in/ACoAACyUWDYB3SLrSqcUdaT0Ev2IPDRxDpbLI4M?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACyUWDYB3SLrSqcUdaT0Ev2IPDRxDpbLI4M,Reena A.,I can post your CV on my timeline having 100000+ Followers.,2d,"Please help.

Prasanth NSR is looking for a QA Lead / Manager role in any IT - Software industry.

Current Location - #Bangalore
Preferred Job Locations #Bangalore

He is a competent dynamic IT professional (Testing and QA professional) with 13+ years of experience in QA which includes 3+ years of experience in - Hadoop / Big Data Testing & 3+ years of experience in ETL Testing & 2+ years of experience in Database Testing.

#Knowledge and #skills
â€¢Expertise in software functional and non - functional testing, and test planning, test strategy, and management, test estimation, test lead activities, authoring of test requirements and test cases, peer reviews, designing of requirements traceability matrix, test execution, defect reporting, and tracking, and manual and automation testing from conception to production.
â€¢Extensive experience in Application, Functionality, Integration, Regression, and Business End to End Testing.
â€¢Strong experience in the software testing process including executing tests, recording results, testing reports & tracking defects.

#Total Experience - 13 Years in #IT Industry in #Banking #Healthcare #Telecom #Manufacturing #finance #supplychain sectors.

#Qualifications * Bachelor of Computer Applications (BCA)
#Certifications
1. â€œPython for Beginnersâ€ from â€œIIT Roorkeeâ€
2. â€œPython for Machine Learningâ€ from â€œIIT Roorkeeâ€
3. â€œPython for Machine Learningâ€ from â€œGreat Learningâ€
4. â€œData Analysis with Python : Zero to Pandasâ€ from â€œJovian.mlâ€
5. â€œAI for Everyoneâ€ from Cloudxlab
6. â€œAI for Managersâ€ from Cloudxlab
7. â€œGenRocket GCE certified TDM professionalâ€ from â€œGenRocketâ€

I have also attached his CV for more details on his career history, organizations worked, and achievements and accomplishments.

Please call him for more details.

Email * prasanth.nsr@gmail.com
Phone number * +91-7337779911

#helpinghands #internet #informationtechnologies #itcareers #hiring #Management #Leadership #Business #Economy #HR #jobchangers #informationtechnologycompany #Banking #Finance #telecomindustry
#Informationtechnology #Itjobs #ITsectors #Softwarejobs
#QA #Qualityassurance #qualityassuranceengineer",,,Reena A.,machine learning finance,2021-09-23T19:19:16.386Z,,,,
https://www.linkedin.com/in/ACoAACOpkGgB57TPfYlv2X8KXyEAuKvMVSOXK90?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACOpkGgB57TPfYlv2X8KXyEAuKvMVSOXK90,Manali Patil,"Summer Analyst, Goldman Sachs | Overall Placement Coordinator, IIT Kanpur | Former Intern, Deloitte",1w,"Hi everyone!

At the Indian Institute of Technology, Kanpur, we express our heartfelt pleasure in inviting companies for our Campus Placement Drive 2021-22. 

IIT Kanpur takes pride in being one of the oldest and renowned IITs in India to offer a full-time BTech, BS, Double Major, Dual Degree, MTech, MSR, MSc, M.Des., PhD, and MBA programs.
 
Kindly fill the following form in case you want to hire from this pool of young and brilliant talents of the country:
Form: https://lnkd.in/dUCAAXN

To know more about the curriculum of various departments, you can browse through the below link:
Department Brochures: https://lnkd.in/dTM87_p

For further details, you can visit us at spo.iitk.ac.in or write to us at spo@iitk.ac.in.
Contacts: https://lnkd.in/dSdSUsR

About IIT Kanpur:
IIT Kanpur has evolved into one of the most respected centres of education and research in the world. With its state-of-the-art infrastructure and facilities, rigorous academic curriculum, and cutting-edge research, it transcends other educational institutions in terms of the sheer quality of minds that are nurtured to excellence in its sanctuary. IIT Kanpur ranks among 300 top universities globally.

IIT Kanpur has shown a growing trend in students' inclination and performance in all the domains, like Software Engineering, Data Science, Machine Learning, Finance, Consulting, and Core Engineering. The Students' Placement Office, IIT Kanpur, hopes to collaborate with firms by building long-lasting and mutually beneficial relationships in the upcoming Campus Recruitment Drive 2021-22.

#finalplacements #hire #talent #iitkanpur #campusrecruitment #hiring #iit #recruit #recruitment #placements #iitplacements #IITK #talentacquisition #topuniversities #campus #campusplacements #fulltime #recruiter",436,62,Manali Patil,machine learning finance,2021-09-23T19:19:16.386Z,,,,
https://www.linkedin.com/in/ACoAAAXJDvEB0o8YeVurUeKzg9TMa0RxjcEa6xg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAXJDvEB0o8YeVurUeKzg9TMa0RxjcEa6xg,Timur Topalgoekceli,MPA Candidate at Harvard Kennedy School (â€˜22) | Edward S. Mason Fellow,6d,"...involving disruptive technologies, acquire new skills like machine learning and other quantitative methods, and learn from experts in management, leadership and negotiation to better position myself...",606,49,Timur Topalgoekceli,machine learning finance,2021-09-23T19:19:16.386Z,,,,
https://www.linkedin.com/in/ACoAABv6SaAB-ds5CcZzMpWcNCfrok80YwflJXM?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABv6SaAB-ds5CcZzMpWcNCfrok80YwflJXM,Satyam Suman,"Project Scientist at Remote Sensing Application Centre, UP",1h,"...several geo-spatial as well as machine learning libraries and software.  On this project, I worked with a very enthusiastic, intelligent and hardworking team.  Deepali Bidwai, Sam Joy and RocÃ­o A. you people are...",12,13,Satyam Suman,machine learning finance,2021-09-23T19:19:16.386Z,,,,
https://www.linkedin.com/in/ACoAAB-u1CUBpP0L6__0u742I0svqVQcJ0PcF0E?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB-u1CUBpP0L6__0u742I0svqVQcJ0PcF0E,Keyur Panchal,"Department Placement Coordinators at Students' Placement Office, IIT Kanpur",1w,"Hi everyone!

At the Indian Institute of Technology, Kanpur, we express our heartfelt pleasure in inviting companies for our Campus Placement Drive 2021-22.

IIT Kanpur takes pride in being one of the oldest and renowned IITs in India to offer a full-time BTech, BS, Double Major, Dual Degree, MTech, MSR, MSc, M.Des., PhD, and MBA programs.
 
Kindly fill the following form in case you want to hire from this pool of young and brilliant talents of the country:
Form: https://lnkd.in/dUCAAXN

To know more about the curriculum of various departments, you can browse through the below link:
Department Brochures: https://lnkd.in/dTM87_p

For further details, you can visit us at spo.iitk.ac.in or write to us at spo@iitk.ac.in.
Contacts: https://lnkd.in/dSdSUsR

About IIT Kanpur:
IIT Kanpur has evolved into one of the most respected centres of education and research in the world. With its state-of-the-art infrastructure and facilities, rigorous academic curriculum, and cutting-edge research, it transcends other educational institutions in terms of the sheer quality of minds that are nurtured to excellence in its sanctuary. IIT Kanpur ranks among 300 top universities globally.

IIT Kanpur has shown a growing trend in students' inclination and performance in all the domains, like Software Engineering, Data Science, Machine Learning, Finance, Consulting, and Core Engineering. The Students' Placement Office, IIT Kanpur, hopes to collaborate with firms by building long-lasting and mutually beneficial relationships in the upcoming Campus Recruitment Drive 2021-22.

#finalplacements #hire #talent #iitkanpur #campusrecruitment #hiring #iit #recruit #recruitment #placements #iitplacements #IITK #talentacquisition #topuniversities #campus #campusplacements #fulltime #recruiter",382,55,Keyur Panchal,machine learning finance,2021-09-23T19:19:16.386Z,,,,
https://www.linkedin.com/in/ACoAAADA_fABpvUT-6SFM1IEnVnX4Gj7FY3yITc?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAADA_fABpvUT-6SFM1IEnVnX4Gj7FY3yITc,RaviKiran Gopalan,Entrepreneur | Innovator | Engineer,1w,"The vision behind Aira is to re-imagine and re-design wireless communications using a machine learning powered, data-driven approach. The team has achieved a lot in the past year and we are just beginning to scratch the surface of what's...",89,33,RaviKiran Gopalan,machine learning finance,2021-09-23T19:19:16.386Z,,,,
